ID,Character,Image,Decomposition,Description
14,般,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3659824.jpg,Compound 般  from boat 舟 zhōu and  hand-action 殳 shū (name- boat-control 般 bān).,
15,般,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3700889.jpg,Compound 般  from boat 舟 zhōu and  hand-action 殳 shū (name- boat-control 般 bān).,
16,邦,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3700910.jpg,Component 邦 older 𨚦 older 𨚚  from right-city 阝邑 yì and  related phonetic plant 丰𡴀 fēng B032 丰[豐] simp 丰 simp 邦 (place name 酆都 > 丰都) (family name 酆 > 邦) (Zhou state 酆 > 酆). (name- nation 邦𨚦𨚚 bāng),(- Family name Feng 酆 now 邦 not 丰).
17,雹,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3700191.jpg,Compound 雹  from rain 雨 yǔ and  phonetic hand-holding-baby 包 bāo.,
18,雹,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3701343.jpg,Compound 雹  from rain 雨 yǔ and  phonetic hand-holding-baby 包 bāo.,
19,宝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3701769.jpg,Compound 寶 variant 寳 from building 宀 mián and (rem- 王 wáng) from jade 玉 yù and  cowry (贝)貝 bèi and  container 缶 fǒu and warping-wheel (尔)爾 ěr C018 寶<寳> A008 宝[寶] new-char 宝.,
20,宝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3701894.jpg,Compound 寶 variant 寳 from building 宀 mián and (rem- 王 wáng) from jade 玉 yù and  cowry (贝)貝 bèi and  container 缶 fǒu and warping-wheel (尔)爾 ěr C018 寶<寳> A008 宝[寶] new-char 宝.,
21,饱,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3702292.jpg,Compound 飽  from mouth-eating (饣)飠食 shí and  related phonetic hand-holding-baby 包 bāo simp 饱.,
22,保,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3705956.jpg,Compound 保 older 𠈃  from person-left 亻 rén and  (rem- 呆 dāi) from  child-in-swaddling 𡥀𣎼𠫡 fú. (name- protect-baby-bao 保𠈃 bǎo),(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
23,保,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3705965.jpg,Compound 保 older 𠈃  from person-left 亻 rén and  (rem- 呆 dāi) from  child-in-swaddling 𡥀𣎼𠫡 fú. (name- protect-baby-bao 保𠈃 bǎo),(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
24,保,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3706710.jpg,Compound 保 older 𠈃  from person-left 亻 rén and  (rem- 呆 dāi) from  child-in-swaddling 𡥀𣎼𠫡 fú. (name- protect-baby-bao 保𠈃 bǎo),(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
25,保,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3706797.jpg,Compound 保 older 𠈃  from person-left 亻 rén and  (rem- 呆 dāi) from  child-in-swaddling 𡥀𣎼𠫡 fú. (name- protect-baby-bao 保𠈃 bǎo),(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
26,保,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3706799.jpg,Compound 保 older 𠈃  from person-left 亻 rén and  (rem- 呆 dāi) from  child-in-swaddling 𡥀𣎼𠫡 fú. (name- protect-baby-bao 保𠈃 bǎo),(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
27,保,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3709720.jpg,Compound 保 older 𠈃  from person-left 亻 rén and  (rem- 呆 dāi) from  child-in-swaddling 𡥀𣎼𠫡 fú. (name- protect-baby-bao 保𠈃 bǎo),(- a person 亻 holding a baby 𡥀𣎼𠫡 or 呆)
28,豹,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3709872.jpg,Component 豹 from small-animal 豸 zhì and  (rem+ 勺 sháo leopards spots). (name- leopard-spots 豹 bào),(- remnant 勺 of the spots on a leopard 豸)
29,豹,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3710637.jpg,Component 豹 from small-animal 豸 zhì and  (rem+ 勺 sháo leopards spots). (name- leopard-spots 豹 bào),(- remnant 勺 of the spots on a leopard 豸)
30,卑,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3712138.jpg,Component 卑 (name- fan-slave 卑 bēi),(- a long handled fan used by a slave indicating inferior person)
31,北,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3712743.jpg,Component 北 (name- North-back 北 běi),(- the back 北 faces north 北 when looking at the sundial). (- two men back to back)  (- original 北 back-bei 背 bèi)
32,贝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3713625.jpg,Component 貝 B004 贝[貝] new-char 贝. (name- cowry (贝)貝 bèi),(- a cowry shell)
33,狈,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3713226.jpg,Compound 狽  from dog-left 犭 quǎn and  related phonetic cowry (贝)貝 bèi.,(- used in the phrase 狼狈为奸)
34,祊,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3713199.jpg,Compound 祊  from altar 礻示 shì and  phonetic carry-pole 方 fāng.,
35,偪,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3714362.jpg,Compound 偪 from person-left 亻 rén and phonetic container-wealth-jug 畐 fú-bì C027 逼<偪> simp 逼.,
36,鼻,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3714160.jpg,Compound 鼻  from nose 自 zì and  .phonetic give-arrow 畀 bì.,
37,匕,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3714994.jpg,Component 匕 variant 𠤎 (not- 七 qī seven) (name- person-right 匕 bǐ) (name- person-right-variant 𠤎匕 bǐ),(baby animal 牝麀) (man 𠤗比死化匘尼旨此) (man 㫐𠤏 卬𠨐 艮𥃩) (man 卓𠤞㔬 齔龀 頃顷16) (mouth 𠤕) (bowl 皀鬯) (cane 老) (feet 能) (spoon 匙) (cursive (仑)侖 真眞)
38,匕,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3715844.jpg,Component 匕 variant 𠤎 (not- 七 qī seven) (name- person-right 匕 bǐ) (name- person-right-variant 𠤎匕 bǐ),(baby animal 牝麀) (man 𠤗比死化匘尼旨此) (man 㫐𠤏 卬𠨐 艮𥃩) (man 卓𠤞㔬 齔龀 頃顷16) (mouth 𠤕) (bowl 皀鬯) (cane 老) (feet 能) (spoon 匙) (cursive (仑)侖 真眞)
39,匕,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3716652.jpg,Component 匕 variant 𠤎 (not- 七 qī seven) (name- person-right 匕 bǐ) (name- person-right-variant 𠤎匕 bǐ),(baby animal 牝麀) (man 𠤗比死化匘尼旨此) (man 㫐𠤏 卬𠨐 艮𥃩) (man 卓𠤞㔬 齔龀 頃顷16) (mouth 𠤕) (bowl 皀鬯) (cane 老) (feet 能) (spoon 匙) (cursive (仑)侖 真眞)
40,比,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3716934.jpg,Component 比 from two person-right 匕 bǐ. (name- two-person-compare 比 bǐ),(- which can be compared).
41,必,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3716976.jpg,Component 必 from spool 弋 yì and  separation 八 bā. (name- spool-string 必 bì),(- the measuring string 弋 to measure the separation 八)
42,闭,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3717251.jpg,Compound 閉  from gate (门)門 mén and  dam 才 cái simp 闭.,
43,畀,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3717370.jpg,Component 畀 from (rem+ 田 tián arrow-head) and  (rem+ 丌 jī arrow tail). (name- give-arrow 畀 bì),(- gift on a table) (- from an arrow 田 arrow head and 丌 arrow) (- originally an arrow)
44,畀,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3717476.jpg,Component 畀 from (rem+ 田 tián arrow-head) and  (rem+ 丌 jī arrow tail). (name- give-arrow 畀 bì),(- gift on a table) (- from an arrow 田 arrow head and 丌 arrow) (- originally an arrow)
45,畀,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3718281.jpg,Component 畀 from (rem+ 田 tián arrow-head) and  (rem+ 丌 jī arrow tail). (name- give-arrow 畀 bì),(- gift on a table) (- from an arrow 田 arrow head and 丌 arrow) (- originally an arrow)
46,敝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3718715.jpg,Compound 敝  from hand-action 攵攴 pū and  related phonetic tattered-cloth 㡀 bì. (name- tattered 敝 bì),
47,敝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3718190.jpg,Compound 敝  from hand-action 攵攴 pū and  related phonetic tattered-cloth 㡀 bì. (name- tattered 敝 bì),
48,敝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3719872.jpg,Compound 敝  from hand-action 攵攴 pū and  related phonetic tattered-cloth 㡀 bì. (name- tattered 敝 bì),
49,敝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3719652.jpg,Compound 敝  from hand-action 攵攴 pū and  related phonetic tattered-cloth 㡀 bì. (name- tattered 敝 bì),
50,辟,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3719452.jpg,Compound 辟 from person-squatting 尸 shī  (rem+ 口 kǒu persons- head) and  chisel 辛 xīn A189 辟[闢] simp 辟. (name- law 辟 pì),(- probably punishment by beheading)
51,辟,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3719592.jpg,Compound 辟 from person-squatting 尸 shī  (rem+ 口 kǒu persons- head) and  chisel 辛 xīn A189 辟[闢] simp 辟. (name- law 辟 pì),(- probably punishment by beheading)
52,濞,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3720911.jpg,Compound 濞  from three-dot-water 氵 shuǐ and  phonetic nose-bi 鼻 bí.,
53,兵,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3720563.jpg,Component 兵 from two-hands-below 廾 gǒng and  ax 斤 jīn. (name- two-hands-ax 兵 bīng),(- two hands 廾 holding an ax 斤)
54,兵,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3720290.jpg,Component 兵 from two-hands-below 廾 gǒng and  ax 斤 jīn. (name- two-hands-ax 兵 bīng),(- two hands 廾 holding an ax 斤)
55,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3721665.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
56,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3721772.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
57,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3721925.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
58,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3723784.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
59,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3723618.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
60,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3723156.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
61,丙,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3724706.jpg,Component 丙 (name- fire-kang 丙 bǐng),"(- a Chinese kang 火炕, a fire-stove that goes under the bed)  (- See 更㪅㶮寎,炳然)"
62,秉,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3724909.jpg,Component 秉 from square-hand ⺕ yòu and  grain 禾 hé. (name- hand-grabbing-single-grain 秉 bǐng),(- hand grasping a stalk of grain)
63,并,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3724326.jpg,Component 並 from 𠀤 from 竝  from two person-stand 立 lì C037 并<併並竝> simp 并.  (name- two-person-equal (并)並竝𠀤 bìng),(- two men added together and equal 並且 Bìngqiě furthermore)
64,并,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3725608.jpg,Component 並 from 𠀤 from 竝  from two person-stand 立 lì C037 并<併並竝> simp 并.  (name- two-person-equal (并)並竝𠀤 bìng),(- two men added together and equal 並且 Bìngqiě furthermore)
65,并,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3725555.jpg,Component 並 from 𠀤 from 竝  from two person-stand 立 lì C037 并<併並竝> simp 并.  (name- two-person-equal (并)並竝𠀤 bìng),(- two men added together and equal 並且 Bìngqiě furthermore)
66,并,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3725911.jpg,Component 並 from 𠀤 from 竝  from two person-stand 立 lì C037 并<併並竝> simp 并.  (name- two-person-equal (并)並竝𠀤 bìng),(- two men added together and equal 並且 Bìngqiě furthermore)
67,并,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3726690.jpg,Component 並 from 𠀤 from 竝  from two person-stand 立 lì C037 并<併並竝> simp 并.  (name- two-person-equal (并)並竝𠀤 bìng),(- two men added together and equal 並且 Bìngqiě furthermore)
68,驳,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3726816.jpg,Compound 駁 mutant 駮 from horse (马)馬 mǎ and  (rem- 交 jiāo) from  (rem- 爻 yáo markings-on-horse) C041 駁<駮> simp 驳. (name- horse-Appaloosa (驳)駁駮 bó),(- mixed color).
69,帛,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3726239.jpg,Component 帛 from cloth 巾 jīn and  phonetic white-moon 白 bái. (name- white-cloth 帛 bó),(- cloth of white cotton)
70,泊,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3727786.jpg,Compound 泊  from three-dot-water 氵 shuǐ and  phonetic white-moon 白 bái name- to-moor 泊 bó.,
71,亳,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3727179.jpg,Compound 亳  from building-tall 高 gāo and  phonetic support-pole 乇 tuō,
72,亳,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3727129.jpg,Compound 亳  from building-tall 高 gāo and  phonetic support-pole 乇 tuō,
73,亳,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3727265.jpg,Compound 亳  from building-tall 高 gāo and  phonetic support-pole 乇 tuō,
74,亳,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3728177.jpg,Compound 亳  from building-tall 高 gāo and  phonetic support-pole 乇 tuō,
75,卜,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3728460.jpg,Component 卜 older ⺊𠁡 A015 卜[蔔] simp 卜. (name- bone-crack 卜 bo),tool 攵攴pū 畏𤱫wèi 占zhàn 贞貞zhēn 歺𣦵è 骨 卦guà 外wài 钋釙pō 卟bǔ 讣訃fù 赴fù 扑 A015 卜[蔔]bo A016 补[補]bǔ A037 处[處]処chù 𠧨咎jiù 晷guǐ A192 扑[撲]pū A193 仆[僕]pū  A194 朴[樸]pǔ 卧臥wò 兆𠧞zhào 卓㔬zhuó
76,不,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3728950.jpg,Component 不 (name- plant-no 不 bù),(- a plant cut at the root to be stooled) A098 还[還]不睘瞏 𨘣 A097 环[環]不睘瞏 𤪹 A095 坏[壞]不褱 A094 怀[懷]不褱 丕 pī 否 fǒu 咅㕻 pǒu
77,不,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3729596.jpg,Component 不 (name- plant-no 不 bù),(- a plant cut at the root to be stooled) A098 还[還]不睘瞏 𨘣 A097 环[環]不睘瞏 𤪹 A095 坏[壞]不褱 A094 怀[懷]不褱 丕 pī 否 fǒu 咅㕻 pǒu
78,步,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3730149.jpg,Compound 步 older 𣥗 歨 from foot-forward 龰止 zhǐ and  foot-up 𣥂 tà. (name- two-feet 步𣥗 bù),
79,才,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3730632.jpg,Component 才 A017 才[纔] simp 才. (name- dam 才 cái),(- original 才塞 sāi) (- maybe a sprout) (- maybe a blocked stream)
80,才,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3730945.jpg,Component 才 A017 才[纔] simp 才. (name- dam 才 cái),(- original 才塞 sāi) (- maybe a sprout) (- maybe a blocked stream)
81,采,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3731243.jpg,Compound 采 from hand-above 爫 zhuǎ and  tree 木 mù  (not- 釆 biàn) C046 采<寀採> simp 采. (name- hand-pick 采 cǎi),
82,采,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3731373.jpg,Compound 采 from hand-above 爫 zhuǎ and  tree 木 mù  (not- 釆 biàn) C046 采<寀採> simp 采. (name- hand-pick 采 cǎi),
83,仓,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3732653.jpg,Component 倉 from inverted-mouth 亼 jí and door (户)戶戸 hù and mouth 口 kǒu  B010 仓[倉] new-char 仓. name- building-granary (仓)倉 cāng,
84,仓,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3732553.jpg,Component 倉 from inverted-mouth 亼 jí and door (户)戶戸 hù and mouth 口 kǒu  B010 仓[倉] new-char 仓. name- building-granary (仓)倉 cāng,
85,仓,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3732883.jpg,Component 倉 from inverted-mouth 亼 jí and door (户)戶戸 hù and mouth 口 kǒu  B010 仓[倉] new-char 仓. name- building-granary (仓)倉 cāng,
86,仓,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3733965.jpg,Component 倉 from inverted-mouth 亼 jí and door (户)戶戸 hù and mouth 口 kǒu  B010 仓[倉] new-char 仓. name- building-granary (仓)倉 cāng,
87,曹,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3738533.jpg,Component 曹 older 𣍘  from two-bags 㯥 cáo and  mouth-speaking 曰 yuē. (name- family-name 曹𣍘 cáo),"(- person who manages 曰 inventory 㯥 - judge, etc.)"
88,册,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3738932.jpg,Component 册 older 冊 C052 册<冊> simp 册. (name- scroll (册)冊 cè),(- bamboo strips with words written on them woven together into a scroll).
89,叉,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3739646.jpg,Component 叉 (name- hand-fork 叉 chā),(- interlaced fingers)
90,叉,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3739479.jpg,Component 叉 (name- hand-fork 叉 chā),(- interlaced fingers)
91,昌,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3739475.jpg,Compound 昌  from two sun-day 日 rì. (name- two-suns 昌 chāng),
92,长,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3740648.jpg,Component 長 mutants 镸𠑿 B012 长[長] new-char 长. name- long-hair (长)長 zhǎng,"(- a man with long hair, indicating long)"
93,鬯,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3740283.jpg,Component 鬯 from bowl-of-rice 𠚍 none and  (rem+ 匕 bǐ base-of-bowl). (name- bowl-of-rice 鬯 chàng),(- a bowl of rice)
94,鬯,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3740480.jpg,Component 鬯 from bowl-of-rice 𠚍 none and  (rem+ 匕 bǐ base-of-bowl). (name- bowl-of-rice 鬯 chàng),(- a bowl of rice)
95,鬯,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3741316.jpg,Component 鬯 from bowl-of-rice 𠚍 none and  (rem+ 匕 bǐ base-of-bowl). (name- bowl-of-rice 鬯 chàng),(- a bowl of rice)
96,朝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3741347.jpg,Compound 朝𦩻  from (rem- person 𠂉) from  (rem- ) from  sunrise 倝 gàn and  (rem- 月 yuè)(rem- 舟 zhōu) from  water 水 shuǐ name- morning 朝 zhāo.,original of 潮 morning tide 晁 See 早潮晁
97,朝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3741412.jpg,Compound 朝𦩻  from (rem- person 𠂉) from  (rem- ) from  sunrise 倝 gàn and  (rem- 月 yuè)(rem- 舟 zhōu) from  water 水 shuǐ name- morning 朝 zhāo.,original of 潮 morning tide 晁 See 早潮晁
98,朝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3741273.jpg,Compound 朝𦩻  from (rem- person 𠂉) from  (rem- ) from  sunrise 倝 gàn and  (rem- 月 yuè)(rem- 舟 zhōu) from  water 水 shuǐ name- morning 朝 zhāo.,original of 潮 morning tide 晁 See 早潮晁
99,朝,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3742492.jpg,Compound 朝𦩻  from (rem- person 𠂉) from  (rem- ) from  sunrise 倝 gàn and  (rem- 月 yuè)(rem- 舟 zhōu) from  water 水 shuǐ name- morning 朝 zhāo.,original of 潮 morning tide 晁 See 早潮晁
100,车,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3742331.jpg,Component 車 new-char 车 (name- cart-che 车車 chē),(- two wheeled cart)
101,车,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3742324.jpg,Component 車 new-char 车 (name- cart-che 车車 chē),(- two wheeled cart)
102,车,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3745204.jpg,Component 車 new-char 车 (name- cart-che 车車 chē),(- two wheeled cart)
103,车,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3746693.jpg,Component 車 new-char 车 (name- cart-che 车車 chē),(- two wheeled cart)
104,车,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3746748.jpg,Component 車 new-char 车 (name- cart-che 车車 chē),(- two wheeled cart)
105,屮,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3747455.jpg,Component 屮. (name- single-grass 屮 chè),(- a sprout with leaves)
106,尘,https://raw.githubusercontent.com/Saun321/Jiaguwen-Full-dataset/main/Photos/3749703.jpg,Compound 塵 from potters-clay 土 tǔ and  deer 鹿 lù  A028 尘[塵] simp 尘,(- the dust 土 kicked up by the deer 鹿) .
